N,TotalComparisons,AveragePerOperation,TheoreticalLogN
100,2841,7.04963,6.64386
200,6661,8.29514,7.64386
300,10756,8.94098,8.22882
400,15259,9.51903,8.64386
500,19700,9.83525,8.96578
600,24606,10.2397,9.22882
700,29380,10.4816,9.45121
800,34299,10.7084,9.64386
900,39250,10.8937,9.81378
1000,44200,11.0417,9.96578
2000,98612,12.3219,10.9658
3000,156805,13.0638,11.5507
4000,217106,13.5666,11.9658
5000,279821,13.989,12.2877
6000,343715,14.3197,12.5507
7000,407793,14.5625,12.7731
8000,472932,14.7777,12.9658
9000,540147,15.0028,13.1357
10000,608367,15.208,13.2877
